Date,DryBulb,DewPnt,Demand
01/01/2015 00:59:59,17.00,6.00,13384.00
01/01/2015 01:59:59,19.00,6.00,12809.00
01/01/2015 02:59:59,20.00,7.00,12397.00
01/01/2015 03:59:59,21.00,7.00,12194.00
01/01/2015 04:59:59,22.00,6.00,12224.00
01/01/2015 05:59:59,21.00,5.00,12538.00
01/01/2015 06:59:59,21.00,5.00,13014.00
01/01/2015 07:59:59,21.00,5.00,13295.00
01/01/2015 08:59:59,21.00,5.00,13729.00
01/01/2015 09:59:59,24.00,5.00,14188.00
01/01/2015 10:59:59,26.00,5.00,14534.00
01/01/2015 11:59:59,28.00,5.00,14651.00
01/01/2015 12:59:59,30.00,6.00,14632.00
01/01/2015 13:59:59,31.00,6.00,14555.00
01/01/2015 14:59:59,32.00,6.00,14471.00
01/01/2015 15:59:59,31.00,7.00,14701.00
01/01/2015 16:59:59,31.00,7.00,15891.00
01/01/2015 17:59:59,30.00,8.00,17024.00
01/01/2015 18:59:59,30.00,9.00,16848.00
01/01/2015 19:59:59,30.00,9.00,16391.00
01/01/2015 20:59:59,30.00,10.00,15853.00
01/01/2015 21:59:59,30.00,11.00,15051.00
01/01/2015 22:59:59,31.00,12.00,13943.00
01/01/2015 23:59:59,32.00,13.00,12885.00
01/02/2015 00:59:59,31.00,14.00,12093.00
01/02/2015 01:59:59,32.00,14.00,11588.00
01/02/2015 02:59:59,31.00,14.00,11362.00
01/02/2015 03:59:59,30.00,15.00,11357.00
01/02/2015 04:59:59,29.00,15.00,11618.00
01/02/2015 05:59:59,30.00,15.00,12365.00
01/02/2015 06:59:59,31.00,15.00,13521.00
01/02/2015 07:59:59,31.00,15.00,14440.00
01/02/2015 08:59:59,31.00,16.00,15008.00
01/02/2015 09:59:59,34.00,17.00,15345.00
01/02/2015 10:59:59,35.00,17.00,15491.00
01/02/2015 11:59:59,36.00,18.00,15532.00
01/02/2015 12:59:59,36.00,19.00,15427.00
01/02/2015 13:59:59,37.00,18.00,15274.00
01/02/2015 14:59:59,37.00,17.00,15148.00
01/02/2015 15:59:59,36.00,15.00,15263.00
01/02/2015 16:59:59,35.00,15.00,16311.00
01/02/2015 17:59:59,33.00,15.00,17358.00
01/02/2015 18:59:59,32.00,14.00,17114.00
01/02/2015 19:59:59,31.00,15.00,16649.00
01/02/2015 20:59:59,30.00,15.00,16112.00
01/02/2015 21:59:59,29.00,14.00,15326.00
01/02/2015 22:59:59,27.00,13.00,14283.00
01/02/2015 23:59:59,27.00,13.00,13251.00
01/03/2015 00:59:59,27.00,12.00,12395.00
01/03/2015 01:59:59,26.00,11.00,11944.00
01/03/2015 02:59:59,25.00,11.00,11700.00
01/03/2015 03:59:59,24.00,11.00,11638.00
01/03/2015 04:59:59,22.00,10.00,11768.00
01/03/2015 05:59:59,22.00,9.00,12157.00
01/03/2015 06:59:59,21.00,9.00,12896.00
01/03/2015 07:59:59,21.00,10.00,13628.00
01/03/2015 08:59:59,21.00,10.00,14397.00
01/03/2015 09:59:59,23.00,10.00,14977.00
01/03/2015 10:59:59,25.00,11.00,15297.00
01/03/2015 11:59:59,27.00,10.00,15469.00
01/03/2015 12:59:59,28.00,11.00,15480.00
01/03/2015 13:59:59,29.00,11.00,15426.00
01/03/2015 14:59:59,30.00,12.00,15467.00
01/03/2015 15:59:59,29.00,15.00,15690.00
01/03/2015 16:59:59,28.00,18.00,16669.00
01/03/2015 17:59:59,27.00,20.00,17364.00
01/03/2015 18:59:59,27.00,22.00,17129.00
01/03/2015 19:59:59,27.00,25.00,16624.00
01/03/2015 20:59:59,28.00,26.00,16021.00
01/03/2015 21:59:59,30.00,28.00,15149.00
01/03/2015 22:59:59,31.00,29.00,14070.00
01/03/2015 23:59:59,32.00,30.00,12974.00
01/04/2015 00:59:59,32.00,31.00,12064.00
01/04/2015 01:59:59,33.00,31.00,11477.00
01/04/2015 02:59:59,33.00,31.00,11132.00
01/04/2015 03:59:59,33.00,32.00,10982.00
01/04/2015 04:59:59,34.00,32.00,10971.00
01/04/2015 05:59:59,34.00,33.00,11179.00
01/04/2015 06:59:59,34.00,33.00,11657.00
01/04/2015 07:59:59,34.00,33.00,12271.00
01/04/2015 08:59:59,33.00,32.00,13068.00
01/04/2015 09:59:59,33.00,32.00,13926.00
01/04/2015 10:59:59,33.00,32.00,14535.00
01/04/2015 11:59:59,34.00,33.00,14921.00
01/04/2015 12:59:59,35.00,34.00,15126.00
01/04/2015 13:59:59,37.00,36.00,15156.00
01/04/2015 14:59:59,38.00,36.00,15084.00
01/04/2015 15:59:59,38.00,37.00,15202.00
01/04/2015 16:59:59,39.00,37.00,16085.00
01/04/2015 17:59:59,39.00,38.00,16674.00
01/04/2015 18:59:59,40.00,39.00,16381.00
01/04/2015 19:59:59,41.00,40.00,15765.00
01/04/2015 20:59:59,42.00,41.00,15071.00
01/04/2015 21:59:59,43.00,42.00,13926.00
